#{"t_start": 1747655087.8467922, "env_id": "None"}
r,l,t
0.05237,1258,1914.722124
0.052295,1258,1919.04476
0.052274,1258,1927.073869
0.051962,1258,1932.033987
0.05271,1258,1936.760466
0.052665,1258,1943.941686
0.052958,1258,1948.640031
0.052568,1258,1953.153647
0.052959,1258,1960.260581
0.0522,1258,1964.825418
0.052763,1258,1969.288425
0.052787,1258,1976.770954
0.052083,1258,1981.817352
0.052436,1258,1986.716109
0.05228,1258,1994.141134
0.052428,1258,1998.634948
0.053444,1258,2003.205719
0.052368,1258,2010.561002
0.05246,1258,2014.979144
0.05258,1258,2019.506146
0.052509,1258,2027.516427
0.052175,1258,2032.787718
0.052921,1258,2037.67789
0.052326,1258,2044.932113
0.052898,1258,2049.365077
0.052634,1258,2053.940691
0.052857,1258,2061.496424
0.052425,1258,2066.245115
0.052511,1258,2070.846636
0.053058,1258,2078.338932
0.052753,1258,2083.328735
0.052327,1258,2088.166402
0.052893,1258,2095.737195
0.053066,1258,2100.886979
0.052783,1258,2105.472939
0.052444,1258,2113.04812
0.052507,1258,2117.583647
0.052498,1258,2122.329141
0.052731,1258,2130.140273
0.052806,1258,2134.846332
0.052033,1258,2139.432071
0.052381,1258,2147.142787
0.0518,1258,2151.933036
0.052845,1258,2156.499452
0.052233,1258,2163.757386
0.052525,1258,2168.272172
0.053018,1258,2172.778018
0.052505,1258,2180.257967
0.052751,1258,2185.029837
0.053013,1258,2188.899178
0.052861,1258,2197.26735
0.05259,1258,2201.876572
0.052414,1258,2206.042503
0.05275,1258,2214.350833
0.052396,1258,2218.691091
0.051778,1258,2222.48826
0.052401,1258,2230.650534
0.052605,1258,2235.574257
0.05184,1258,2239.909984
0.052253,1258,2247.917123
0.052494,1258,2252.895952
0.051834,1258,2257.164471
0.052379,1258,2265.388128
0.053429,1258,2269.974066
0.052742,1258,2273.505159
0.0523,1258,2281.490486
0.052352,1258,2286.330539
0.052548,1258,2290.742053
0.052782,1258,2298.947822
0.052258,1258,2303.67846
